27 Mar 2023 - 10:53:34.635 [main] INFO  e.c.CollegeManagementSystemApplication - Starting CollegeManagementSystemApplication using Java 17.0.6 with PID 12040 (F:\College-management-system\target\classes started by adity in F:\College-management-system)
27 Mar 2023 - 10:53:34.700 [main] INFO  e.c.CollegeManagementSystemApplication - No active profile set, falling back to 1 default profile: "default"
27 Mar 2023 - 10:53:35.896 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
27 Mar 2023 - 10:53:36.000 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 92 ms. Found 3 JPA repository interfaces.
27 Mar 2023 - 10:53:37.461 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
27 Mar 2023 - 10:53:37.525 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
27 Mar 2023 - 10:53:37.526 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.5]
27 Mar 2023 - 10:53:37.898 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
27 Mar 2023 - 10:53:37.900 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3095 ms
27 Mar 2023 - 10:53:38.614 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
27 Mar 2023 - 10:53:39.531 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.7.Final
27 Mar 2023 - 10:53:42.929 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
27 Mar 2023 - 10:53:43.493 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@329b331f
27 Mar 2023 - 10:53:43.497 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
27 Mar 2023 - 10:53:43.672 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
27 Mar 2023 - 10:53:43.677 [main] WARN  org.hibernate.orm.deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
27 Mar 2023 - 10:53:47.632 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
27 Mar 2023 - 10:53:47.693 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
27 Mar 2023 - 10:53:48.331 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
27 Mar 2023 - 10:53:49.027 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
27 Mar 2023 - 10:53:49.042 [main] INFO  e.c.CollegeManagementSystemApplication - Started CollegeManagementSystemApplication in 15.275 seconds (process running for 16.33)
27 Mar 2023 - 10:53:56.841 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
27 Mar 2023 - 10:53:56.841 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
27 Mar 2023 - 10:53:56.846 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 5 ms
27 Mar 2023 - 10:54:41.168 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
27 Mar 2023 - 10:54:41.204 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
27 Mar 2023 - 10:54:41.209 [RMI TCP Connection(3)-127.0.0.1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Destroying Spring FrameworkServlet 'dispatcherServlet'
27 Mar 2023 - 10:54:41.247 [RMI TCP Connection(3)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
27 Mar 2023 - 10:54:41.251 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
27 Mar 2023 - 10:54:41.293 [RMI TCP Connection(3)-127.0.0.1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
